324,Federated States of Micronesia
325,Myanmar
326,Hirondelle
327,Kerstin-1
328,Evita VI
329,Ukraine-2
330,Russia-3
331,Malawi
332,Belarus-1
333,United States-3
334,Bronia
335,Zambia
336,Denmark-1
337,Bluebottle
338,West Germany-1
339,Rhodesia
340,East Germany-2
341,Snap
342,Chinese Taipei-1
343,Sao Tome and Principe
344,Toronto Argonauts
345,England-1
346,Hungaria Evezos Egylet
347,Poland-1
348,Macedonia
349,Bohemia
350,Argonaut Rowing Club
351,"Life boat naval ship ""Spetsai""-1"
352,Australia-1
353,Tonga
354,Nigeria-1
355,Fortuna
356,Starlight III
357,Liechtenstein
358,Pan
359,Montenegro
360,Leander Club-2
361,"Lemzos Thorichton ""Psara""-3"
362,London City Police-1
363,Great Britain-3
364,Sabre
365,Firebird II
366,Berliner Ruderverein von 1876-2
367,Christian Brothers' College-1
368,Czechoslovakia-1
369,Czechoslovakia-2
370,"Passaic Turnverein, Passaic"
371,Primorka
372,Gambia
373,Racing Club de France
374,Grifo III
375,Grifo IV
376,Bingo
377,Damoiselle IV
378,Crabe II-12
379,Nina Claire-30
380,Crabe II-1
381,Crabe II-4
382,Nina Claire-2
383,Qu'Importe
384,Konstanz
385,Suzy-2
386,Mouchette-2
387,Dansk Idrts Forbund
388,Marmara
389,Moseley Wanderers
390,Chicago Athletic Association-2
391,Devon and Somerset Wanderers
392,Unified Team-2
393,Mistral Hojris
394,Cook Islands
395,Mauritius-2
396,Albania
397,Romania-1
398,Pampero
399,Israel-2
400,Symphony
401,Sjhxa
402,Faneca
403,Ciocca III
404,"Marinai della nave da guerra ""Varese"""
405,Lalage
406,Gallia II
407,Dinah V
408,Czech Republic-2
409,Nora
410,Monica
411,Kullan
412,Shoveller
413,Amateur Athletic Association
414,Circus
415,Aletta
416,Widgeon
417,Inca
418,Czech Republic-1
419,Relampago
420,Foxhunters Hurlingham
421,Thames Rowing Club
422,"Davenport Turngemeinde, Davenport"
423,"Norwegier Turnverein, Brooklyn"
424,Erna Signe
425,Sirene
426,Socit Nautique de Bayonne-2
427,Socit Nautique de Bayonne-1
428,Anitra
429,Snude
430,White Lady
431,Web II
432,Web III
433,Italy-3
434,Pistoja/Firenze
435,West Indies Federation
436,Posillipo III
437,Tritons Lillois-2
438,"Turnverein Vorwrts, Cleveland"
439,Club Nautique de Franais-1
440,Monaco-1
441,Boreas-2
442,Peri
443,"New York Turnverein, New York"
444,Tichiboo
445,Siames-Cat
446,Swaziland
447,India-1
448,Italia
449,Ausonia
450,Angelita
451,Burkina Faso
452,Nortazo
453,Tom Kyle
454,Tilly
455,Esterel-1
456,North Borneo
457,Wiking
458,Buraddoo
459,Heroine
460,Burundi
461,Chok
462,Atlanta
463,Germania II
464,Wannsee
465,Polyteknisk Roklub-1
466,Aruba
467,Buscape II
468,Nina
469,Norway-3
470,Kristiania Roklub-1
471,Kristiania Roklub
472,Ormsund Roklub-2
473,Chuckles
474,South Africa-2
475,Chinese Taipei
476,Winnipeg Shamrocks-1
477,Olle
478,United States-10
479,Camelia
480,Aschenbrodel
481,Whitini Star
482,Puerto Rico-1
483,Bera
484,Netherlands-2
485,Slaghoken
486,Slaghoken II
487,Great Britain/Germany
488,Nikh
489,Swift
490,Andorinha
491,Unified Team-1
492,Cupidon III
493,Athens-2
494,Bulgaria-2
495,Marga-2
496,Serendipity
497,L'Aile VI
498,Cercle de l'Aviron Roubaix-4
499,Caprice
500,"New College, Oxford-2"
501,Compigne Polo Club
502,Vision
503,Cambridge University Boat Club-2
504,Trickson VI
505,St. Rose-2
506,Calcinhas
507,Gteborgs Roddfrening-2
508,Minerva Amsterdam
509,Chamukina
510,Nausikaa 4
511,New York Athletic Club-1
512,Arcturus
513,Belgium-1
514,St. Louis Southwest Turnverein #1-2
515,Nauru
516,Jo
517,Lucky Star
518,Namoussa
519,Briar
520,Panhellenios Gymnastikos Syllogos-1
521,Netherlands-1
522,Gabbiano
523,Gran Gesto
524,Ceres II
525,Covunco III
526,Chicago Archers
527,Royal Club Nautique de Gand
528,Roddklubben af 1912-1
529,Roddklubben af 1912-2
530,Bucintoro Venezia-1
531,Bucintoro Venezia
532,Edelweiss II-1
533,Bamba
534,Rush IV
535,Boston Archers
536,Ali-Baba IV
537,Ali-Baba VI
538,Ali-Baba IX
539,Upton Park FC
